,Postcode,Commune,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80_84,age85_89,age90_94,age95_99,age100_and_over,Total
806,6720,Fanø ,127,152,180,192,75,63,99,124,164,207,230,260,265,334,356,338,141,76,36,7,0,3426
807,6731,Tjæreborg ,266,276,267,222,94,150,225,225,228,259,223,249,198,167,162,199,115,70,21,5,0,3621
808,6740,Bramming ,695,674,751,714,455,619,769,606,626,712,707,880,781,764,606,518,347,193,64,9,2,11492
809,6752,Glejbjerg ,59,70,75,83,54,60,75,78,80,66,82,92,84,63,33,58,42,27,10,3,1,1195
810,6753,Agerbæk ,84,113,89,77,68,88,102,100,94,74,88,119,104,96,79,81,65,54,21,4,0,1600
811,6760,Ribe ,703,775,850,916,617,647,780,774,793,908,1062,1080,1121,1121,1050,819,527,309,113,25,4,14994
812,6771,Gredstedbro ,151,165,167,146,103,126,178,156,135,155,156,183,178,174,124,101,55,49,15,2,0,2519
813,6780,Skærbæk ,309,321,349,340,262,295,357,308,331,310,387,484,478,473,346,317,233,120,40,12,0,6072
814,6792,Rømø ,12,9,19,20,12,9,11,16,19,25,46,66,60,79,59,53,33,7,6,1,0,562
815,6800,Varde ,1161,1235,1364,1402,1080,1142,1319,1212,1317,1384,1569,1641,1464,1382,1256,1107,772,401,155,41,4,22408
816,6818,Årre ,171,174,197,186,115,153,202,170,201,236,194,261,170,168,125,107,69,30,17,4,1,2951
817,6823,Ansager ,157,134,161,120,116,159,188,148,151,147,181,224,210,216,152,128,95,44,20,5,0,2756
818,6830,Nørre Nebel ,124,132,171,192,106,132,136,147,155,186,216,241,267,247,226,227,119,85,37,9,0,3155
819,6840,Oksbøl ,202,213,223,241,116,136,190,169,185,233,265,313,265,248,273,229,125,82,34,9,0,3751
820,6851,Janderup Vestj ,74,86,87,64,48,67,70,81,67,87,80,106,100,91,73,61,26,19,11,0,0,1298
821,6852,Billum ,35,44,65,72,41,35,43,37,49,68,77,78,47,47,44,39,19,11,6,1,0,858
822,6853,Vejers Strand ,1,0,0,3,2,3,1,1,2,4,2,5,8,18,14,16,10,3,1,0,0,94
823,6854,Henne ,17,23,35,28,42,26,25,24,30,47,54,61,52,61,49,41,13,8,2,0,0,638
824,6855,Outrup ,83,102,106,104,68,72,106,100,103,96,123,126,151,106,87,67,54,32,18,2,1,1707
825,6857,Blåvand ,11,9,5,15,34,22,17,18,21,26,35,44,47,75,61,51,27,9,4,0,0,531
826,6862,Tistrup ,123,116,141,111,83,114,128,126,112,125,127,166,115,128,98,101,56,50,13,6,1,2040
827,6870,Ølgod ,276,280,328,351,284,284,326,275,309,309,404,481,420,426,353,283,201,114,58,16,0,5778
828,6880,Tarm ,311,332,361,509,363,343,371,346,358,462,452,534,477,431,423,372,264,139,56,17,1,6922
829,6893,Hemmet ,66,94,79,108,102,88,80,77,91,98,141,190,168,144,93,86,52,21,13,2,0,1793
830,6900,Skjern ,675,724,866,977,637,689,715,689,767,895,928,981,861,725,721,631,415,274,111,19,4,13304
831,6920,Videbæk ,488,533,538,527,362,384,516,507,462,522,512,577,593,547,478,419,280,167,67,19,2,8500
832,6933,Kibæk ,254,268,290,331,219,243,268,261,281,371,356,413,330,294,278,234,165,69,28,6,1,4960
833,6940,Lem St ,113,130,118,145,96,119,115,119,110,155,165,173,146,120,102,98,69,39,15,11,1,2159
834,6950,Ringkøbing ,617,682,760,1079,617,662,738,638,745,876,943,1061,1074,1067,962,842,492,305,95,20,1,14276
835,6960,Hvide Sande ,120,166,189,207,118,107,149,154,172,228,233,239,206,249,226,222,109,49,22,6,0,3171
836,6971,Spjald ,179,182,210,223,148,170,168,211,180,186,212,250,226,161,152,146,96,61,18,7,1,3187
837,6973,Ørnhøj ,71,75,87,82,83,78,93,66,69,67,97,75,74,59,57,54,33,23,12,4,0,1259
838,6980,Tim ,88,98,116,129,86,90,99,82,112,120,129,135,117,112,102,110,59,36,12,3,0,1835
839,6990,Ulfborg ,189,229,241,305,205,195,195,219,271,270,312,382,377,363,327,364,213,106,47,13,3,4826
840,7000,Fredericia ,2590,2749,3140,3331,2674,2984,3321,2986,3248,3672,3830,4203,3484,3084,2715,2824,1708,839,338,81,11,53812
841,7080,Børkop ,862,895,905,868,475,593,831,828,875,935,916,952,755,706,722,666,366,166,55,11,0,13382
